iter	RMSE
0	0.6388667719
1	0.6354684156
2	0.6325628418
3	0.6293960809
4	0.6261727104
5	0.6231146055
6	0.6200910049
7	0.6169636173
8	0.6143404345
9	0.6118586563
10	0.6091310343
11	0.6064825751
12	0.6041568682
13	0.6013790203
14	0.5988525774
15	0.5962291544
16	0.5934101933
17	0.5904823875
18	0.5881055185
19	0.5859362999
20	0.5837086348
21	0.5812235621
22	0.5787638108
23	0.5765828662
24	0.5742454418
25	0.5717493316
26	0.569501025
27	0.5671079232
28	0.5648171384
29	0.5624360939
30	0.559854268
31	0.5578454786
32	0.5558828546
33	0.5536713402
34	0.5518138549
35	0.5497128032
36	0.5474500304
37	0.5456071483
38	0.5436777055
39	0.5414983132
40	0.5396901461
41	0.5382163846
42	0.5362228382
43	0.5346438774
44	0.5328207546
45	0.5311282612
46	0.5294194846
47	0.5272122249
48	0.524997282
49	0.5234205623
50	0.521846298
51	0.5198033053
52	0.5178381784
53	0.5163804077
54	0.5147884196
55	0.5133114424
56	0.5115710696
57	0.5100677348
58	0.5086422909
59	0.507102921
60	0.5054806432
61	0.5042351573
62	0.5024071388
63	0.5007420727
64	0.499284034
65	0.497554032
66	0.4962496452
67	0.4947267632
68	0.49325249
69	0.4918004815
70	0.4906757096
71	0.4890768951
72	0.4876757215
73	0.4863972622
74	0.4848368246
75	0.4836492144
76	0.4824840241
77	0.4812690539
78	0.4799719454
79	0.4787945199
80	0.477782425
81	0.476402074
82	0.4752279973
83	0.4740153498
84	0.4727014743
85	0.4714230598
86	0.4700211094
87	0.4689468796
88	0.4675585648
89	0.4663902696
90	0.4654033968
91	0.4643159114
92	0.4633345082
93	0.4620113121
94	0.4607815468
95	0.4595136546
96	0.4584818405
97	0.4576182905
98	0.4564604263
99	0.4555073152
100	0.4547317458
101	0.4538600422
102	0.4528000762
103	0.4518184853
104	0.4508995499
105	0.4502268413
106	0.4492774397
107	0.448335095
108	0.4474622818
109	0.4467296785
110	0.4458635909
111	0.4453351672
112	0.4443504573
113	0.4436684213
114	0.4428260029
115	0.4421200023
116	0.4411980432
117	0.4401300984
118	0.4394152167
119	0.4387351142
120	0.4379482762
121	0.4370451498
122	0.4362468041
123	0.4354245884
124	0.4346728007
125	0.433859311
126	0.4331579713
127	0.4321481544
128	0.43128471
129	0.4305657062
130	0.4297127793
131	0.4289295367
132	0.4280722994
133	0.4272987594
134	0.426506341
135	0.4256877747
136	0.4251055539
137	0.4243144491
138	0.4237051638
139	0.4231755154
140	0.4221533427
141	0.4213344219
142	0.420772095
143	0.4201695228
144	0.4195183875
145	0.419064479
146	0.4183061626
147	0.4174773218
148	0.4167753346
149	0.4161971203
150	0.4155456534
151	0.4148908862
152	0.4142404153
153	0.4135441583
154	0.4129862766
155	0.4123731323
156	0.4118230797
157	0.4112265028
158	0.4107791582
159	0.4102041207
160	0.4096058929
161	0.4089920794
162	0.4083947022
163	0.4079238843
164	0.407394291
165	0.4069008617
166	0.4063035747
167	0.4057012486
168	0.4051978715
169	0.404613277
170	0.4040595188
171	0.4034039058
172	0.4029887124
173	0.4026927878
174	0.4023436726
175	0.4018741063
176	0.4013863151
177	0.4010272851
178	0.4004650381
179	0.3999231954
