,jan,feb,mar,apr,maj,jun,jul,avg,sep,okt ,nov,dec,god
1961,132.6,163.0,141.2,115.3,352.8,127.7,50.7,31.4,23.2,73.0,118.8,137.4,122.3
1962,175.0,227.4,461.0,536.7,165.3,74.7,62.3,29.7,23.0,24.7,119.3,184.9,173.7
1963,292.1,400.6,266.0,277.3,163.5,154.9,67.4,43.7,40.9,36.1,57.2,116.2,159.7
1964,66.2,184.5,311.7,195.8,163.2,172.5,133.8,88.2,69.6,284.3,374.7,389.3,202.8
1965,225.5,209.8,377.1,299.5,541.0,156.7,65.4,39.2,59.1,34.1,95.7,233.3,194.7
1966,138.0,274.6,242.3,305.8,230.7,104.6,84.8,57.7,43.7,42.4,135.8,215.1,156.3
1967,137.9,190.0,321.2,382.1,209.5,159.7,165.3,44.8,41.2,31.6,34.6,157.1,156.2
1968,232.0,380.8,196.1,141.7,89.6,174.1,62.4,126.0,158.5,111.6,314.0,322.4,192.4
1969,173.1,412.2,294.4,279.9,170.4,199.2,161.3,95.4,108.9,48.6,79.1,176.2,183.2
1970,615.4,421.8,403.7,437.0,276.6,177.3,152.2,62.1,42.0,74.8,125.9,115.9,242.0
1971,243.3,216.8,232.7,263.9,111.1,72.0,33.4,30.6,55.7,70.9,102.5,158.4,132.6
1972,79.5,98.2,87.4,150.5,151.8,64.3,175.5,291.6,177.9,224.1,201.2,188.6,157.6
1973,75.4,183.5,233.9,389.0,168.9,85.6,55.1,42.9,62.3,57.3,74.2,188.2,134.7
1974,212.7,219.3,137.8,160.3,246.6,206.7,140.4,59.8,64.0,287.5,236.3,208.2,181.6
1975,134.9,104.9,186.8,240.2,194.7,155.3,127.1,94.2,72.8,98.1,130.1,123.2,138.5
1976,104.1,145.8,175.4,260.0,207.7,230.3,116.5,129.9,143.6,101.4,148.2,383.5,178.9
1977,217.7,293.7,184.3,257.0,119.1,72.8,83.8,70.2,115.7,152.8,174.7,298.1,170.0
1978,249.7,367.6,339.5,279.7,480.3,365.4,163.7,61.4,161.9,99.2,57.2,225.9,237.6
1979,302.1,329.0,141.6,215.3,173.8,82.8,107.1,53.3,52.1,93.8,300.3,181.1,169.4
1980,237.9,348.2,207.2,302.9,426.1,203.6,89.0,49.0,44.0,65.5,215.3,246.9,203.0
1981,173.4,190.7,582.7,245.4,221.6,185.6,73.2,68.0,68.7,101.9,134.2,410.1,204.6
1982,188.1,76.6,218.4,308.1,179.8,116.1,60.2,59.1,30.9,74.0,52.9,122.6,123.9
1983,138.2,301.3,184.0,210.2,88.0,119.8,85.7,49.3,81.8,50.3,62.3,152.6,127.0
1984,181.4,280.7,361.9,402.0,250.4,126.4,85.9,77.0,74.3,237.3,86.3,65.9,185.8
1985,153.7,127.5,250.9,419.5,204.9,108.0,60.9,82.9,58.8,40.3,128.2,129.0,147.1
1986,209.1,250.1,315.8,259.0,170.5,195.5,289.3,85.5,45.8,54.5,77.5,61.0,167.8
1987,184.9,266.9,176.9,369.0,402.2,130.1,65.0,48.5,36.3,34.3,189.7,173.6,173.1
1988,121.9,155.2,403.6,263.4,152.2,96.8,44.4,29.4,57.8,45.0,58.2,123.6,129.3
1989,63.9,81.4,181.9,86.8,239.6,195.9,151.1,173.2,189.1,288.9,124.8,100.8,156.5
1990,70.3,92.3,88.9,156.6,82.5,73.8,37.1,23.9,25.6,30.1,85.8,190.1,79.7
1991,160.6,102.8,149.8,294.2,407.4,224.8,318.8,203.3,68.8,166.5,418.6,177.0,231.2
1992,169.6,168.1,227.9,248.8,109.0,172.0,103.9,52.1,47.9,109.2,217.0,124.7,145.5
1993,74.9,70.6,214.1,376.8,109.3,65.3,72.1,55.8,81.2,91.9,125.0,333.9,139.9
1994,259.6,202.3,181.9,214.7,110.3,92.0,62.1,52.5,57.0,62.4,79.2,50.3,117.7
1995,366.0,384.0,340.0,506.0,252.0,319.0,205.0,243.0,304.0,169.0,288.0,414.0,315.8
1996,435.0,276.0,213.0,371.0,183.0,88.0,41.3,37.3,215.0,193.0,243.0,335.0,219.2
1997,307.0,207.0,163.0,269.0,211.0,97.8,101.0,97.8,42.3,114.0,174.0,225.0,167.4
1998,223.0,179.0,125.0,172.0,122.0,114.0,55.3,35.4,105.0,193.0,243.0,219.0,148.8
1999,191.5,258.4,368.4,320.0,183.8,124.0,126.9,64.3,79.8,55.6,237.5,467.4,206.4
2000,172.0,307.0,319.0,288.0,120.0,58.7,37.4,27.0,30.0,37.4,68.3,97.8,130.2
2001,199.0,178.0,256.0,327.0,178.0,376.0,149.0,56.4,340.0,94.6,178.0,147.0,206.6
2002,154.0,254.0,161.0,332.0,205.0,116.0,58.7,82.6,90.8,265.0,161.0,156.0,169.7
2003,219.0,154.0,160.0,152.0,102.0,72.0,58.7,25.8,26.4,104.0,124.0,79.9,106.5
2004,183.0,254.0,340.0,435.0,215.0,172.0,116.0,82.6,42.3,63.5,149.0,223.0,189.6
2005,119.0,140.0,458.0,371.0,254.0,197.0,243.0,172.0,91.0,88.0,72.0,274.0,206.6
2006,209.0,154.0,440.0,322.0,183.0,176.0,83.9,89.4,82.6,68.3,67.1,55.3,160.9
2007,163.0,151.0,217.0,133.0,76.0,82.6,28.2,26.4,38.2,81.2,292.0,156.0,120.4
2008,172.4,89.6,270.2,197.4,105.3,74.3,68.1,29.7,41.9,49.4,54.0,271.7,118.7
2009,167.7,176.3,323.5,324.7,82.4,184.9,110.6,34.7,24.4,74.7,94.8,305.5,158.7
2010,281.7,264.4,265.0,197.5,253.0,465.2,120.9,44.8,66.3,79.9,159.3,318.4,209.7
2011,101.1,101.3,140.0,100.8,141.2,92.0,35.6,28.1,20.8,22.7,20.0,43.1,70.6
2012,49.6,133.1,257.7,229.3,269.5,80.7,27.3,19.3,22.3,24.1,26.7,100.5,103.3
2013,206.3,293.1,311.3,233.1,151.5,80.4,39.2,21.7,24.7,32.5,66.9,49.6,125.9
2014,59.4,81.1,111.2,376.0,612.6,118.6,81.0,223.1,285.5,108.2,63.5,145.4,188.8
2015,226.8,237.8,333.7,251.0,114.7,55.1,25.0,21.4,21.3,87.2,50.6,67.1,124.3
2016,115.1,174.3,319.7,128.6,187.2,62.0,67.1,65.4,33.3,58.7,135.0,33.3,115.0
2017,34.0,197.1,241.0,210.1,190.9,62.1,31.2,28.8,22.4,54.6,63.3,262.9,116.5
2018,161.1,204.2,362.4,230.4,121.8,133.0,150.3,60.3,28.1,24.1,38.3,97.8,134.3
2019,75.1,282.2,151.8,143.0,296.1,191.3,47.7,36.7,21.9,19.7,27.5,59.2,112.7
2020,34.3,86.8,134.5,34.7,56.6,164.8,55.5,64.2,25.5,47.2,30.2,91.4,68.8
2021,181.44,186.22,101.82,116.45,68.05,34.21,29.37,18.70,17.30,43.64,192.62,309.69,108.3
2022,112.3,92.6,84.7,121.3,62.8,58.0,21.6,23.6,31.5,23.9,60.5,130.4,68.6
2023,199.2,108.7,256.2,220.0,233.7,275.2,58.5,29.5,26.1,21.3,111.8,116.7,138.1
2024,72.6,69.2,78.7,46.3,34.2,25.7,21.4,17.1,36.2,56.7,53.4,107.7,51.6
2025,201.4,51.4,313.1,225.9,84.9,28.6,23.6,24.2,21.5,31.9,99.8,66.8,97.8
