year,jan,feb,mar,apr,maj,jun,jul,avg ,sep,okt,nov,dec,god
1961,73.07,76.27,106.44,73.07,98.87,58.22,38.56,24.19,20.82,20.22,33.49,68.41,20.22
1962,86.31,106.44,215.34,220.74,82.89,56.84,33.49,22.10,20.82,20.82,21.45,63.93,20.82
1963,118.32,155.30,120.36,194.36,137.30,63.93,40.73,30.70,29.81,27.27,26.47,41.85,26.47
1964,36.47,44.15,158.30,100.19,109.58,62.81,70.09,46.14,41.69,43.88,149.20,172.42,36.47
1965,133.90,105.77,105.77,202.34,210.15,96.55,40.63,33.77,33.77,26.47,26.47,111.52,26.47
1966,98.36,136.04,142.54,192.12,105.77,64.23,47.31,38.57,32.88,27.19,67.12,111.52,27.19
1967,91.23,87.78,202.34,226.17,117.42,86.08,67.12,36.47,32.54,27.27,24.93,36.47,24.93
1968,123.47,136.04,138.19,94.76,70.09,81.09,41.69,49.69,81.09,60.03,53.42,94.76,41.69
1969,100.19,162.94,199.76,172.42,82.73,81.09,67.12,52.16,74.69,38.57,34.69,141.17,34.69
1970,217.51,190.12,227.96,252.39,155.90,100.07,65.58,49.95,32.94,35.40,45.70,45.70,32.94
1971,109.76,145.13,99.71,157.41,70.02,42.17,24.10,22.19,28.32,31.43,40.24,88.64,22.19
1972,56.97,66.87,64.31,65.58,80.45,37.60,35.67,70.79,103.54,87.77,84.80,76.23,35.67
1973,58.16,87.77,134.01,265.48,77.62,52.33,32.87,25.01,33.79,33.79,46.81,41.58,25.01
1974,106.88,121.20,110.63,87.97,158.09,95.74,56.87,40.72,39.76,115.85,126.69,136.11,39.76
1975,89.49,72.14,70.79,119.41,117.62,105.54,53.38,50.02,34.30,30.16,53.38,70.79,30.16
1976,74.89,92.59,105.54,202.56,122.15,91.60,49.50,81.12,74.14,52.55,90.05,151.42,49.50
1977,139.31,207.35,137.34,157.67,79.69,53.60,43.91,44.79,44.79,68.86,56.86,106.54,43.91
1978,145.50,145.50,211.58,199.41,234.07,153.83,79.02,47.61,72.25,64.60,41.61,44.55,41.61
1979,141.45,155.95,116.89,129.74,92.14,67.10,52.95,41.61,34.26,45.56,137.84,88.91,34.26
1980,132.52,123.94,122.26,226.13,253.71,103.26,59.81,39.46,32.79,33.49,53.68,145.17,32.79
1981,103.66,103.66,148.48,158.75,123.34,95.78,52.41,36.30,43.77,52.41,65.72,123.34,36.30
1982,88.20,64.59,69.14,155.27,114.67,62.34,44.85,36.30,23.51,23.51,36.30,45.92,23.51
1983,98.38,110.47,113.26,126.32,61.23,45.92,43.77,33.10,32.04,32.04,35.23,76.11,32.04
1984,105.00,126.32,217.73,230.90,135.53,84.50,53.50,52.41,38.43,71.44,53.50,50.24,38.43
1985,40.56,85.72,99.68,190.71,93.22,66.86,33.10,26.71,34.17,25.65,59.00,80.87,25.65
